ACL,Blunders,Mistakes,Inaccuracies,Perfect Moves
54.40909090909091,0,15,4,0
41.25,0,4,10,0
56.77272727272727,0,15,4,0
54.72727272727273,0,15,3,0
53.5,0,15,3,0
246.25,16,6,5,0
352.0263157894737,26,1,4,0
358.55263157894734,26,2,3,0
305.8333333333333,18,2,3,0
306.26666666666665,18,1,4,0
42.5,0,4,10,0
42.125,0,4,10,0
53.11538461538461,0,15,9,0
53.07692307692308,0,16,7,0
40.5,0,4,10,0
40.1875,0,4,10,0
41.875,0,4,10,0
41.8125,0,4,10,0
40.4375,0,4,10,0
88.45454545454545,10,8,2,0
87.86363636363636,9,8,3,0
88.22727272727273,9,8,3,0
87.04545454545455,7,11,2,0
88.4090909090909,10,8,2,0
87.36363636363636,10,8,2,0
89.4090909090909,10,8,2,0
338.73770491803276,56,3,2,0
49.9375,1,7,6,0
48.625,0,8,6,0
48.8125,0,8,6,0
49.5,0,8,6,0
47.8125,0,8,6,0
48.1875,0,8,6,0
49.5,0,8,6,0
49.375,0,8,6,0
51.6875,0,8,6,0
46.6875,0,8,5,0
48.1875,0,8,6,0
48.8125,0,8,6,0
532.9344262295082,56,1,2,0
397.03125,25,1,1,0
431.4375,25,1,1,0
407.55172413793105,22,0,2,0
384.3,23,1,1,0
47.3125,0,8,6,0
264.55555555555554,35,3,2,0
61.65217391304348,5,8,3,0
193.8421052631579,21,2,7,0
206.97727272727272,23,9,6,0
175.23333333333332,14,5,5,0
96.0625,12,9,8,0
295.19354838709677,15,8,4,0
129.53658536585365,20,9,7,0
71.3076923076923,11,12,5,0
43.73529411764706,0,15,7,0
355.188679245283,30,8,5,0
384.7027027027027,26,6,2,0
340.64,16,3,2,0
271.1470588235294,20,3,8,0
206.63888888888889,23,7,3,0
301.2439024390244,28,1,6,0
183.33333333333334,8,7,4,0
381.16129032258067,21,1,3,0
264.875,25,4,2,0
456.39473684210526,30,1,1,0
206.47826086956522,12,1,3,0
279.35555555555555,32,3,3,0
245.95238095238096,42,10,3,0
257.10869565217394,30,5,7,0
264.1607142857143,39,10,5,0
296.93220338983053,42,6,3,0
313.28846153846155,32,9,7,0
369.3888888888889,25,2,3,0
114.38461538461539,17,3,2,0
487.16326530612247,33,9,2,0
194.22448979591837,22,12,8,0
179.10344827586206,15,3,5,0
185.94736842105263,23,3,4,0
352.5,15,4,4,0
158.03225806451613,21,2,6,0
152.02941176470588,19,6,5,0
326.25454545454545,42,4,6,0
383.6666666666667,35,3,5,0
288.86,37,2,6,0
260.6111111111111,23,5,3,0
504.19642857142856,44,2,7,0
327.375,24,4,4,0
235.25581395348837,20,7,14,0
401.73809523809524,33,1,2,0
323.2758620689655,19,2,2,0
433.05882352941177,22,4,2,0
264.23333333333335,20,3,1,0
160.875,23,11,3,0
291.34375,18,2,3,0
326.12,60,9,1,0
198.36,28,12,5,0
302.20512820512823,26,5,2,0
368.90625,25,0,2,0
425.625,32,2,2,0
541.3333333333334,30,2,0,0
537.8823529411765,27,1,0,0
163.74193548387098,17,8,3,0
581.3333333333334,28,1,0,0
147.54545454545453,11,2,1,0
87.1923076923077,9,10,0,0
705.05,33,1,0,0
218.77777777777777,24,5,2,0
140.65853658536585,23,9,3,0
86.06896551724138,12,6,3,0
86.33333333333333,9,11,6,0
265.97058823529414,26,0,2,0
257.93333333333334,28,7,5,0
253.58536585365854,26,6,5,0
187.92307692307693,31,4,2,0
188.8421052631579,20,5,5,0
159.65,22,5,5,0
162.48717948717947,25,5,4,0
249.10344827586206,20,1,1,0
209.14285714285714,18,2,4,0




669.0833333333334,50,3,4,0

175.91176470588235,18,3,8,0
454.3,23,3,3,0
58.44444444444444,6,7,8,0
116.48387096774194,12,9,6,0
386.97297297297297,29,4,3,0
370.90909090909093,25,3,2,0
398.7317073170732,27,2,5,0
324.9756097560976,33,1,3,0



238.3846153846154,17,8,6,0
62.84,9,3,3,0

339.3863636363636,38,2,3,0


213.3235294117647,22,4,2,0
363.1666666666667,19,2,3,0
322.9642857142857,12,3,7,0
455.10714285714283,22,1,4,0


74.23684210526316,13,7,15,0
80.32142857142857,14,1,6,0
203.55172413793105,26,1,2,0
308.2068965517241,26,1,2,0
113.45454545454545,11,2,4,0
110.68181818181819,11,2,1,0
157.29166666666666,12,4,3,0
241.4814814814815,23,3,1,0
86.16666666666667,7,16,1,0
64.95652173913044,9,4,5,0
88.625,11,8,5,0
84.6,11,9,2,0
75.88,8,9,3,0
91.4074074074074,16,4,1,0
132.70967741935485,11,4,8,0
237.63636363636363,12,8,4,0
41.333333333333336,0,12,10,0
445.04761904761904,31,0,7,0
492.60526315789474,52,7,10,0
440.02564102564105,31,4,1,0
249.7560975609756,30,2,2,0
208.74285714285713,25,4,4,0
66.53846153846153,10,2,10,0
172.71698113207546,28,8,6,0
245.36363636363637,25,6,1,0
317.04761904761904,33,4,2,0
441.16,68,2,2,0
164.46153846153845,23,5,5,0
219.48387096774192,21,3,2,0
437.4516129032258,25,3,0,0
464.8611111111111,31,2,1,0
381.4146341463415,27,4,4,0
114.78125,4,8,9,0
76.67567567567568,12,7,9,0
243.0,18,4,2,0
266.75925925925924,42,7,1,0



246.19148936170214,28,5,6,0


418.7631578947368,62,4,7,0

335.2105263157895,65,5,5,0
113.78787878787878,11,8,7,0

326.2535211267606,54,7,2,0
110.0,9,3,8,0

254.45833333333334,35,5,4,0
317.0113636363636,64,10,10,0
451.4366197183099,57,5,4,0


331.8125,23,4,1,0
216.20454545454547,31,8,1,0

660.5370370370371,49,2,2,0

461.66037735849056,44,4,3,0

64.89655172413794,10,5,6,0
140.24,17,1,7,0
319.2830188679245,41,3,1,0
290.3888888888889,22,10,1,0
73.08,10,4,4,0
326.3488372093023,28,5,4,0
295.7450980392157,33,7,4,0
210.10416666666666,33,6,5,0
436.5230769230769,48,1,9,0
292.04651162790697,30,2,5,0
382.76271186440675,44,4,8,0

77.74358974358974,8,19,10,0
289.03921568627453,37,6,1,0
204.33333333333334,18,4,3,0
42.458333333333336,2,5,12,0
376.4102564102564,29,8,1,0
591.4117647058823,55,1,4,0
345.6969696969697,52,1,9,0


201.83870967741936,16,5,4,0

502.63829787234044,40,0,0,0
326.51724137931035,43,6,2,0
328.97777777777776,34,4,3,0
130.39285714285714,16,6,4,0
140.7027027027027,25,2,2,0
326.9756097560976,34,1,1,0
278.8679245283019,35,7,7,0



315.969696969697,15,1,9,0
87.9090909090909,18,3,8,0

359.44262295081967,44,10,1,0
167.08333333333334,19,8,0,0
264.94871794871796,30,6,2,0
432.7111111111111,37,5,1,0
344.8867924528302,37,5,4,0
394.07462686567163,54,6,0,0
344.0681818181818,30,6,5,0
224.80434782608697,24,7,6,0
361.675,32,5,1,0
318.8767123287671,50,11,3,0
150.78846153846155,38,9,3,0
211.96226415094338,36,10,5,0

155.93023255813952,23,15,4,0
224.58823529411765,24,3,2,0
158.75675675675674,15,7,7,0

162.52173913043478,27,5,5,0
334.8,32,1,4,0
257.0853658536585,56,14,3,0
433.4468085106383,33,3,3,0
240.1304347826087,36,2,3,0
198.31578947368422,25,5,3,0
234.27777777777777,25,3,2,0
206.7391304347826,36,5,3,0

72.6896551724138,11,3,5,0
551.4141414141415,79,5,4,0
87.0,5,11,17,0
154.72413793103448,16,2,4,0
294.4117647058824,27,2,4,0
384.90909090909093,26,2,0,0
392.35135135135135,30,2,0,0
238.2058823529412,24,6,2,0
464.94117647058823,23,3,4,0
292.8421052631579,26,4,5,0
359.9714285714286,29,2,4,0
204.02777777777777,25,4,3,0
183.22222222222223,25,4,4,0
221.94285714285715,27,2,3,0
311.1363636363636,32,3,4,0
203.475,31,3,2,0
153.0,20,5,5,0
185.2,30,13,4,0
422.875,33,4,5,0
222.5,26,2,4,0
203.864406779661,35,13,4,0
158.6590909090909,22,8,5,0
113.0,17,12,5,0
103.28947368421052,18,8,7,0
85.93023255813954,15,12,8,0
227.39583333333334,29,13,4,0

59.375,7,5,4,0
183.21818181818182,31,5,9,0
493.6666666666667,40,0,2,0
422.3061224489796,44,0,2,0
316.975,30,2,3,0
220.92307692307693,13,5,2,0
287.03125,24,3,2,0
67.52173913043478,10,0,1,0
204.3235294117647,18,7,2,0
85.24137931034483,12,2,4,0
67.95652173913044,10,0,2,0
63.56521739130435,9,2,1,0
81.06896551724138,9,8,6,0
57.84,5,7,6,0
40.3,5,0,2,0
42.75,3,4,4,0
40.1,5,1,4,0
64.86363636363636,10,1,4,0
78.29166666666667,10,5,5,0
48.0,4,5,1,0
284.2692307692308,16,1,1,0
100.82352941176471,15,6,8,0
